"","IDNumber","FirstName","Suname","Age","DoB","Height(m)","Weight(kg)","EducationLevel","Salary","CriminalRecord"
"1","1MK","Marvin"," Kelly",32.3,1986-07-08,1.6,205,"graduate",26424.7,"have a criminal record"
"2","2GO","Glen"," O’Sullivan",27.8,1991-01-10,1.5,189,"doctorate",28300.7,"have a criminal record"
"3","3MW","Milan"," Walsh",11.3,2007-07-10,1.9,93,"secondary",14745.3,"have a criminal record"
"4","4OS","Ollie"," Smith",5.1,2013-08-24,1.6,131,"secondary",28268,"have a criminal record"
"5","5HO","Harlan"," O’Brien",15.5,2003-04-12,2.1,233,"FALSE",6904.7,"has no criminal record"
"6","6HB","Hollis"," Byrne",76,1942-11-02,2.1,178,"secondary",13856.7,"have a criminal record"
"7","7CR","Chet"," Ryan",9.1,2009-09-02,1.9,67,"Primary",9981.7,"has no criminal record"
"8","8RO","Refugio"," O’Connor",75.5,1943-05-02,1.9,96,"doctorate",22711.3,"have a criminal record"
"9","9WO","Willis"," O’Neill",53.4,1965-05-26,1.6,68,"graduate",15961.3,"have a criminal record"
"10","10BO","Brady"," O’Neill",50.4,1968-05-15,1.5,131,"doctorate",15775.3,"have a criminal record"
"11","11DO","Danilo"," O’Reilly",57.9,1960-11-26,2.1,257,"Primary",12889,"has no criminal record"
"12","12RD","Rolando"," Doyle",29.7,1989-02-10,1.9,226,"Primary",6731.3,"has no criminal record"
"13","13LM","Lonnie"," McCarthy",51.8,1967-01-04,1.9,202,"graduate",7261.3,"has no criminal record"
"14","14BG","Bennett"," Gallagher",62.4,1956-05-31,1.9,78,"graduate",15704,"have a criminal record"
"15","15QO","Quintin"," O’Doherty",84.3,1934-07-04,1.7,193,"doctorate",27142.7,"have a criminal record"
"16","16SK","Sanford"," Kennedy",15.2,2003-08-22,1.5,171,"graduate",7003.3,"has no criminal record"
"17","17SL","Stan"," Lynch",1.3,2017-07-02,1.5,73,"secondary",14232.7,"has no criminal record"
"18","18FM","Filiberto"," Murray",4.5,2014-04-12,1.5,96,"doctorate",20544.7,"have a criminal record"
"19","19RQ","Ronnie"," Quinn",61.7,1957-02-16,1.9,227,"graduate",10826.3,"has no criminal record"
"20","20RM","Randell"," Moore",86.1,1932-09-13,2,105,"graduate",28582,"have a criminal record"
"21","21HM","Hong"," McLoughlin",23.3,1995-07-01,1.5,251,"doctorate",13858,"have a criminal record"
"22","22SO","Salvador"," O’Carroll",88.8,1930-01-02,2,191,"Primary",28028,"have a criminal record"
"23","23IC","Ian"," Connolly",1.9,2016-10-31,1.7,97,"Primary",14561.3,"have a criminal record"
"24","24LD","Leo"," Daly",10.9,2007-11-18,1.7,121,"graduate",26860.7,"have a criminal record"
"25","25CO","Cyrus"," O’Connell",29.3,1989-06-29,2.1,158,"secondary",26477.3,"have a criminal record"
"26","26AW","Augustus"," Wilson",17.7,2001-02-01,2,80,"secondary",16754,"have a criminal record"
"27","27AD","Alphonso"," Dunne",65.9,1952-11-16,1.7,175,"secondary",12344,"has no criminal record"
"28","28EB","Erich"," Brennan",8.1,2010-09-15,1.5,105,"doctorate",20859.3,"have a criminal record"
"29","29AB","Abraham"," Burke",37.1,1981-08-31,1.8,114,"Primary",20262.7,"have a criminal record"
"30","30GC","Gavin"," Collins",87.8,1931-01-04,1.9,151,"Primary",9824.3,"has no criminal record"
"31","31KC","Keneth"," Clarke",26.5,1992-04-11,2.2,68,"masters",13237.3,"has no criminal record"
"32","32GJ","Gregg"," Johnston",2.3,2016-06-21,1.5,196,"doctorate",14960.3,"has no criminal record"
"33","33FH","Freddie"," Hughes",75.7,1943-02-04,1.8,181,"FALSE",11494,"has no criminal record"
"34","34GO","Glenn"," O’Farrell",4.5,2014-04-18,1.9,201,"masters",7355.3,"has no criminal record"
"35","35BF","Brice"," Fitzgerald",51.6,1967-03-28,1.8,51,"FALSE",12217.3,"has no criminal record"
"36","36DB","Darrick"," Brown",1.2,2017-08-15,1.8,62,"secondary",13407.7,"has no criminal record"
"37","37CM","Chi"," Martin",11.9,2006-11-20,1.8,153,"graduate",12888,"has no criminal record"
"38","38BM","Bruce"," Maguire",69.6,1949-03-29,1.8,65,"Primary",14881,"has no criminal record"
"39","39PN","Pete"," Nolan",7.5,2011-04-24,1.8,235,"Primary",8917.7,"has no criminal record"
"40","40EF","Earl"," Flynn",26.8,1991-12-28,1.5,95,"masters",25964,"have a criminal record"
"41","41LT","Luther"," Thompson",8.6,2010-02-26,2.2,191,"doctorate",12867,"has no criminal record"
"42","42LO","Lanny"," O’Callaghan",34.7,1984-01-24,1.8,175,"secondary",26352,"have a criminal record"
"43","43GO","Giuseppe"," O’Donnell",41.4,1977-06-12,1.7,123,"doctorate",12476.3,"has no criminal record"
"44","44CD","Cliff"," Duffy",9.3,2009-06-15,1.6,55,"graduate",28022,"have a criminal record"
"45","45SO","Santiago"," O’Mahony",18,2000-10-07,1.7,119,"masters",20659.3,"have a criminal record"
"46","46TB","Tyree"," Boyle",10.7,2008-02-19,2.1,141,"doctorate",25751.3,"have a criminal record"
"47","47JH","Jeffrey"," Healy",48.2,1970-08-28,2.1,60,"doctorate",25394.7,"have a criminal record"
"48","48MO","Malcolm"," O’Shea",71.8,1947-01-17,2.2,232,"secondary",26986,"have a criminal record"
"49","49VW","Valentin"," White",47,1971-10-27,2.2,63,"secondary",10913,"has no criminal record"
"50","50KS","Kirk"," Sweeney",22.9,1995-11-09,1.8,111,"Primary",14031.3,"have a criminal record"
"51","51RH","Robert"," Hayes",43.1,1975-09-22,1.8,65,"secondary",23270.7,"have a criminal record"
"52","52NK","Newton"," Kavanagh",35.4,1983-05-20,1.9,164,"graduate",19798,"have a criminal record"
"53","53TP","Toney"," Power",9.6,2009-03-21,1.8,169,"doctorate",13612,"have a criminal record"
"54","54PM","Patrick"," McGrath",19.7,1999-02-10,1.8,146,"masters",7237,"has no criminal record"
"55","55RM","Rolando"," Moran",86.9,1931-12-28,1.9,109,"Primary",13079,"has no criminal record"
"56","56AB","Arnold"," Brady",27.8,1990-12-19,1.6,137,"doctorate",18427.3,"have a criminal record"
"57","57ES","Eli"," Stewart",23.5,1995-04-25,1.9,63,"graduate",12239.3,"has no criminal record"
"58","58RC","Russ"," Casey",18.6,2000-02-28,1.6,107,"Primary",11474,"has no criminal record"
"59","59GF","Grant"," Foley",81,1937-11-02,2.1,103,"secondary",23010,"have a criminal record"
